command,success
pip install https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/45c77e3/wheels/pyyaml-6.0.2-cp310-cp31,Failed
pip install https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/45c77e3/wheels/pyyaml-6.0.2-cp310-cp31,Success
pip install https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/45c77e3/wheels/pyyaml-6.0.2-cp310-cp310-linux_armv7l.whl,Unknown
pip install https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/625ab5a/wheels/pyyaml-6.0.2-cp310-cp31,Failed
pip install https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/625ab5a/wheels/pyyaml-6.0.2-cp310-cp310-linux_armv7l.whl,Unknown
pip install https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/79767ae/wheels/pendulum-3.1.0-cp310-cp,Failed
pip install https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/79767ae/wheels/pendulum-3.1.0-cp310-cp,Success
pip install https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/79767ae/wheels/pendulum-3.1.0-cp310-cp310-linux_armv7l.whl,Failed
pip install https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/79767ae/wheels/pendulum-3.1.0-cp310-cp310-linux_armv7l.whl,Success
pip install https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/79767ae/wheels/prefect-3.3.4-py3-none-,Failed
pip install https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/79767ae/wheels/prefect-3.3.4-py3-none-any.whl,Success
pip install https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/copilot/fix-11/wheels/pendulum-3.1.0-cp310-cp310-linux_armv7l.whl,Unknown
pip install https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/copilot/fix-11/wheels/pendulum-3.1.0-cp310-cp310-linux_armv7l.whl,Success
pip install https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/copilot/fix-11/wheels/prefe,Failed
pip install https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/copilot/fix-11/wheels/prefect_client-3.4.6-py3-none-any.whl,Failed
pip install https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/copilot/fix-11/wheels/prefect_client-3.4.6-py3-none-any.whl,Unknown
pip install https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/copilot/fix-11/wheels/ujson,Failed
pip install https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/copilot/fix-11/wheels/ujson,Success
pip install https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/copilot/fix-11/wheels/ujson-5.10.0-py3-none-linux_armv7l.whl,Unknown
pip install https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/main/wheels/pendulum-3.1.0-cp310-cp310-linux_armv7l.whl,Unknown
pip install https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/main/wheels/prefect_client-3.4.6-py3-none-any.whl,Success
pip install on both files didn't work on the Opentrons (not supported for aarch and invalid for the universal). The Opentrons OS isn't bash either....,Failed
pip install on both files didn't work on the Opentrons (not supported for aarch and invalid for the universal). The Opentrons OS isn't bash either....,Unknown
"pip install on both files didn't work on the Opentrons"". Let me try to reproduce what might be happening:",Unknown
pip install pendulum-3.1.0-cp310-cp310-linux_armv7l.whl,Unknown
pip install pendulum.whl,Unknown
"pip install pendulum.whl"",",Unknown
pip install prefect --index-url <opentrons-package-index-url>,Unknown
pip install prefect --index-url <opentrons-package-index-url>,Success
pip install prefect --index-url <opentrons-package-index-url>\n```\n\nThis enables autonomous experimental workflows with Prefect orchestration dir...,Unknown
pip install prefect --index-url http://pypi.opentrons.com/simple/,Unknown
pip install prefect --index-url http://pypi.opentrons.com/simple/,Success
pip install prefect --index-url http://pypi.opentrons.com/simple/`,Unknown
pip install prefect --index-url https://dev.pypi.opentrons.com/[branch-name]/simple/,Unknown
pip install prefect --index-url https://dev.pypi.opentrons.com/[branch-name]/simple/`,Unknown
pip install prefect --index-url https://dev.pypi.opentrons.com/copilot/fix-1/simple/,Unknown
pip install prefect --index-url https://dev.pypi.opentrons.com/copilot/fix-1/simple/`,Unknown
"pip install prefect, everything will work sple...",Success
"pip install prefect, everything will work splendidly. If you can't connect to the OT2-simulator, there's no point. Also, I checked on my side and S...",Success
pip install prefect-*.whl,Success
pip install prefect-*.whl,Unknown
pip install prefect-3.3.4-py3-none-any.whl,Success
pip install prefect-3.3.4-py3-none-any.whl,Unknown
pip install prefect.whl,Success
"pip install prefect.whl"",",Success
pip install prefect_client-3.4.6-py3-none-any.whl,Unknown
pip install prefect_client-3.4.6-py3-none-any.whl,Success
pip install prefect_client-3.4.6-py3-none-any.whl,Failed
pip install pydantic-core annotated-types typer click httpx sniffio anyio --quiet,Failed
pip install pydantic-settings --quiet,Failed
pip install pyyaml --only-binary=all,Success
pip install pyyaml --only-binary=all,Failed
pip install regex-*-cp310-cp310-linux_armv7l.whl,Success
pip install rich` completes the full installation.,Success
pip install rich` completes the full installation.,Unknown
pip install typer click rich httpx --quiet,Unknown
pip install typing_extensions --upgrade,Unknown
pip install typing_extensions --upgrade,Failed
pip install ujson --break-system-packages,Failed
pip install ujson-5.10.0-py3-none-linux_armv7l.whl,Unknown
pip install wheels/pendulum-3.1.0-cp310-cp310-linux_armv7l.whl,Unknown
pip install wheels/prefect-3.3.4-py3-none-any.whl,Unknown
pip install wheels/prefect-3.3.4-py3-none-any.whl --no-deps --force-reinstall --quiet,Unknown
pip install wheels/prefect-3.3.4-py3-none-any.whl --no-deps --quiet,Unknown
pip install wheels/prefect-3.3.4-py3-none-any.whl --quiet,Failed
pip install wheels/prefect_client-3.4.6-py3-none-any.whl --no-deps --quiet,Unknown
pip install wheels/pydantic-2.10.4-py3-none-any.whl,Unknown
pip install wheels/pydantic-2.10.4-py3-none-any.whl wheels/typing_extensions-4.12.2-py3-none-any.whl --no-deps --quiet,Unknown
pip install wheels/sqlalchemy-2.0.41-py3-none-any.whl,Unknown
pip install wheels/ujson-5.10.0-py3-none-linux_armv7l.whl,Unknown
"pip install {wheel_path}"")",Failed
poetry install --sync --without=dev \,Unknown
poetry poe _formatcheck,Failed
poetry run black --check ./builder ./tests,Unknown
poetry run black --diff builder/package_build/shell_environment.py,Success
poetry run black builder/package_build/shell_environment.py,Success
python -m pytest tests/builder/package_build/test_build_wheel.py -v,Failed
python -m zipfile -c ../pendulum-3.1.0-cp310-cp310-linux_armv7l.whl pendulum/ pendulum-3.1.0.dist-info/,Unknown
python /tmp/ot2_simulation_test.py,Unknown
python /tmp/read_docs.py,Failed
python /tmp/test_ot2_prefect.py,Unknown
"Python 3.10 and seems to target ARM architecture.\nSolution:\nEnsure all dependencies (e.g., pandas, Cython) are compatible with Python 3.10 and th...",Failed
Python 3.10\\n- Network connectivity to download packages\\n- SSH access to the OT-2\\n\\n...\\n````File: `OT2-PREFECT-INSTALLATION-GUIDE.md`\\n```...,Failed
"Python cdef void get_asfreq_info(...) noexcept: If exceptions are expected, ensure proper exception values are declared explicitly in .pxd files. T...",Failed
python fetch_deprecation_info.py,Failed
python fetch_deprecation_info.py ` (dns block),Unknown
"Python formatting issue in shell_environment.py"",",Failed
python install.py PACKAGE_NAME,Unknown
"python install.py PACKAGE_NAME"")",Unknown
"python install.py pandas"")",Unknown
python install.py pendulum,Unknown
python install.py pendulum,Failed
python install.py pendulum && python install.py prefect`,Unknown
"python install.py pendulum"")",Failed
"python install.py pendulum"")",Unknown
python install.py pendulum` then `python install.py prefect`,Unknown
python install.py prefect,Unknown
python install.py prefect,Failed
python install.py prefect,Success
"python install.py prefect"")",Unknown
python install.py prefect-client,Unknown
python install.py prefect-client,Success
"python install.py prefect-client"")",Unknown
Python installer script: `ot2_prefect_final_installer.py`,Unknown
python installer.py,Unknown
"python library not in the standard library. We\\nwant this common code to exist so it can centralize things like arguments, but\\nit needs to be ca...",Failed
python ot2_installer.py,Unknown
python ot2_installer.py,Success
"python ot2_installer.py"")",Unknown
python ot2_prefect_installer.py,Unknown
python ot2_prefect_installer.py,Success
python ot2_prefect_installer.py`,Unknown
"Python Package Index"", and the blocks logos are registered <a href=""/trademarks/"">trademarks</a> of the <a href=""https://www.python.org/psf-landing...",Failed
"Python package, I should be able to create a simple build.py that downloads the source distribution from PyPI. Let me create the build configuration:",Unknown
"Python package, let me try using the `GithubDevSource` which downloads the repo archive. Let me update the build.py:",Success
Python packages CAN run on OT-2 with proper dependency management\n+- The ARMv7l wheel ecosystem is more robust than expected\n+- Creative wheel-bu...,Failed
"python packages made with Raspbian in mind; because it is an arm7hf architecture, it cannot use more general manylinux wheels made with x86-64 or a...",Success
Python packages that use pyproject.toml instead of setup.py. Let me examine the build_wheel.py to see if it supports PEP 517/518 builds:,Unknown
python packages. They are responsible for build orchestration and kicking off everything.\\n\\nThis tooling uses [poetry](python-poetry.org) with s...,Failed
Python packaging but should be compatible with setup.py builds,Unknown
Python packaging standards suggest using `pip install .` or `python -m build` instead of `setup.py bdist_wheel`,Success
"Python packaging, so it might not need `build_ext`. Let me update the build.py to be more conservative and just use `bdist_wheel`:",Unknown
python script called `build.py`. Its job is to call `build.build_package` with correct arguments. A good example is `package/pandas/1.5.0/build.py`...,Success
python script that should work on anything above python 3.7. You can get usage by running `./build-packages --help`.\\n\\nYou'll also need to have ...,Failed
python setup.py bdist_wheel` even for modern packages that use pyproject.toml. This might work for some packages but could be suboptimal for packag...,Unknown
"python setup.py {"" "".join(commands)}')",Failed
"python setup.py` commands directly. This suggests it expects packages to have a `setup.py` file. However, modern Python packages like Prefect 3.3.4...",Unknown
Python syntax of my build.py file:,Failed
python test_installer.py,Unknown
python test_ot2_prefect.py,Failed
python test_ot2_prefect.py,Unknown
python test_ot2_prefect.py,Success
python test_ot2_prefect.py`,Unknown
python test_pandas_build_simulation.py,Unknown
python test_pandas_fix.py,Success
python test_shell_environment.py,Success
python validate_fix.py,Success
python validate_workflows.py,Unknown
Python version)\n❌ **Prefect installation blocked** by cryptography compilation issues\n\nThe root issue is the OT-2's broken pip environment (`__p...,Failed
python3 -m pip download ujson --platform linux_armv7l --abi cp310 --implementation cp --only-binary=:all: --no-deps,Failed
python3 -m pip download ujson==5.10.0 --platform linux_armv7l --abi cp310 --implementation cp --only-binary=:all: --no-deps,Failed
python3 -m poetry install,Unknown
python3 setup.py bdist_wheel --plat-name linux_armv7l,Unknown
rm -f yaml/_yaml.cpython-* && rm -rf PyYAML.libs && rm -rf _yaml,Unknown
rm pendulum-3.1.0-cp310-cp310-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,Unknown
scp -o StrictHostKeyChecking=no /home/runner/work/opentrons-python-packages/opentrons-python-packages/ot2_enhanced_flow_serve.py $OT2_SIMULATOR_SSH...,Unknown
scp -o StrictHostKeyChecking=no /home/runner/work/opentrons-python-packages/opentrons-python-packages/ot2_flow_serving_test.py $OT2_SIMULATOR_SSH:/...,Unknown
scp -o StrictHostKeyChecking=no /home/runner/work/opentrons-python-packages/opentrons-python-packages/ot2_flow_validation.sh $OT2_SIMULATOR_SSH:/tm...,Unknown
scp -o StrictHostKeyChecking=no /home/runner/work/opentrons-python-packages/opentrons-python-packages/ot2_simple_flow_serve.py $OT2_SIMULATOR_SSH:/...,Unknown
scp -o StrictHostKeyChecking=no /tmp/prefect_quickstart_ot2.py ******:/tmp/,Unknown
scp ot2_opentrons_prefect_solution.py root@ot2-simulator-9d169e.tail6a1dd7.ts.net:/root/,Unknown
scp ot2_prefect_compatibility_test.py root@ot2-simulator-9d169e.tail6a1dd7.ts.net:/root/,Unknown
scp pydantic_compat.py root@ot2-simulator-9d169e.tail6a1dd7.ts.net:/root/,Unknown
scp root@100.79.160.30:/tmp/guide_validation_20250618_181349.json ./logs/,Unknown
scp simple_integration_test.py root@ot2-simulator-9d169e.tail6a1dd7.ts.net:/root/,Unknown
scp validate_installation_guide.py root@100.79.160.30:/tmp/,Unknown
"ssh -o ConnectTimeout=10 -o StrictHostKeyChecking=no root@ot2-simulator-9d169e.tail6a1dd7.ts.net ""rm -rf /var/us...",Unknown
"ssh -o StrictHostKeyChecking=no ****** ""echo 'Current PATH:' && echo \$PATH && echo && echo 'Testing prefect binary:' && /var/user-packages/root/.l...",Unknown
"tailscale ssh root@ot2-simulator-53ad71 ""export PYTHONPATH='/var/user-packages/root/.local/lib/python3.10/site-packages:$PYTHONPATH' && export PREF...",Unknown
"tailscale ssh root@ot2-simulator-53ad71 ""export PYTHONPATH='/var/user-packages/root/.local/lib/python3.10/site-packages:$PYTHONPATH' && pip3 instal...",Failed
"tailscale ssh root@ot2-simulator-53ad71 ""export PYTHONPATH='/var/user-packages/root/.local/lib/python3.10/site-packages:$PYTHONPATH' && python3 -c ...",Success
"tailscale ssh root@ot2-simulator-53ad71 ""mkdir -p ~/.local/lib/python3.10/site-packages/aiosqlite",Unknown
"tailscale ssh root@ot2-simulator-53ad71 ""mkdir -p ~/.local/lib/python3.10/site-packages/asyncpg",Unknown
tar -C /tmp -xzf tailscale.tgz,Failed
tar -tzf pendulum-3.1.0.tar.gz | head -10,Unknown
tar -xzf pendulum-3.1.0.tar.gz,Unknown
tar -xzf tailscale_1.82.0_arm.tgz,Success
"tar -zxvf ./action.tar.gz >> ""runtime-logs/download.log"" 2>&1 && \",Success
testing - specifically that it can serve a flow.,Success
"Testing Alternative Imports..."")",Unknown
testing and deployment.,Unknown
"testing and deployment."" [ref=e85]:",Unknown
"testing and deployment."" [ref=e88]",Unknown
testing and validation status for the OT-2 Prefect installation.,Unknown
testing approach validates the Prefect installation instructions.,Failed
"testing asyncpg is, on average, <strong>5x</strong> faster than psycopg3.</p>",Unknown
Testing basic flow/task functionality...,Success
"Testing basic flow/task functionality...\"")",Success
Testing basic functionality of $PACKAGE...,Success
Testing basic functionality...,Unknown
Testing basic Pandas functionality...,Success
Testing basic Pandas functionality...\,Success
Testing basic Pendulum functionality...,Success
Testing basic Pendulum functionality...\,Success
Testing basic Prefect functionality...,Success
Testing basic Prefect functionality...,Unknown
Testing basic Prefect functionality...\,Success
Testing basic Prefect functionality...\,Unknown
Testing basic Prefect import...,Unknown
"Testing basic Prefect import..."")",Unknown
"Testing basic Prefect workflow..."")",Success
"Testing basic Prefect workflow..."")",Failed
"Testing Basic Workflow..."")",Success
Testing build configuration imports...,Success
"Testing build configuration imports..."")",Success
Testing build system integration...,Success
"Testing build system integration..."")",Success
Testing Commands for OT-2 Device,Unknown
"Testing complete flow execution..."")",Success
"Testing complete flow execution..."")",Failed
testing complete Prefect flow functionality.,Unknown
"Testing complete Prefect installation..."")",Unknown
Testing complete. Check logs/ directory for detailed results.,Unknown
Testing connection to OT-2 simulator,Unknown
Testing connection to OT-2 simulator...,Success
Testing connection to: $OT2_HOST,Success
Testing connectivity to 100.101.232.60...,Failed
Testing connectivity to fresh device (100.101.232.60),Failed
Testing connectivity to ot2-simulator-9d169e.tail6a1dd7.ts.net...,Failed
Testing connectivity to working device (100.79.160.30),Success
"Testing connectivity to {device_ip}..."")",Success
"Testing connectivity to {device}..."")",Success
"Testing Core Import..."")",Success
"Testing Dependencies..."")",Unknown
Testing dependency compatibility...,Unknown
Testing dependency compatibility...,Success
Testing deployment creation...,Unknown
"Testing deployment creation...\"")",Failed
testing details in OT2-FLOW-TESTING.md (commit 6cad3c2),Success
testing details in OT2-FLOW-TESTING.md (commit 6cad3c2),Unknown
Testing direct flow execution...,Success
Testing direct flow execution...'),Success
"Testing Direct Flow Import..."")",Success
Testing direct import of flow and task decorators...,Failed
Testing direct import of flow and task decorators...'),Failed
Testing direct pendulum installation...,Failed
"Testing direct pendulum installation..."")",Failed
testing documentation (TESTING.md),Unknown
Testing flow and task access...,Failed
"Testing flow and task access..."")",Success
"Testing flow and task imports..."")",Success
Testing flow creation...,Unknown
testing flow creation...,Unknown
"Testing flow creation..."")",Success
"testing flow creation..."")",Success
"Testing flow creation..."")",Failed
"Testing flow creation..."")",Unknown
testing flow creation...'),Success
Testing flow creation...'),Success
"Testing flow execution..."")",Success
Testing flow execution...'),Success
"Testing flow execution...\"")",Failed
testing framework for validating package installations on OT-2 systems.,Success
testing framework for validating package installations on OT-2 systems.,Unknown
TESTING FRESH DEVICE (ot2-simulator-9d169e),Failed
testing functionality directly to it. I need to remove those modifications. Let me check the original state of this file from before my changes:,Unknown
testing immediately when ot2-simulator-9d169e comes online.**,Unknown
Testing import of $package_name...,Success
Testing import of pendulum...,Failed
"Testing import of {module_name}..."")",Success
Testing import...,Success
"Testing import..."")",Success
testing infrastructure and created a minimal approach instead. Created a simple device test script and concise documentation. Device access is stil...,Failed
"testing infrastructure ensures that when the fresh device comes online, we can immediately validate the installation process and identify any devic...",Unknown
testing infrastructure for the fresh device (ot2-simulator-9d169e) when it becomes available.,Success
testing infrastructure is complete and ready to validate the fresh device installation when it becomes accessible. The current guide should work wi...,Unknown
testing infrastructure to validate the Prefect installation instructions on OT-2 simulators and ensures the installation process is reproducible an...,Success
"testing infrastructure, documentation additions, and integration scripts have been removed. Repository is now in clean state. Commit 7e53fe8",Success
"testing infrastructure, documentation changes, and integration code have been removed as requested. The repository is now back to the exact state i...",Unknown
Testing installation compatibility...,Failed
Testing installation compatibility...,Unknown
"Testing installation compatibility..."")",Failed
Testing installation of newly built wheels...,Success
Testing installation...,Unknown
"Testing installation..."")",Success
"Testing installation..."")",Unknown
"testing locally, let me check if there are any other potential issues and improvements I can make.",Success
Testing minimal flow...,Failed
Testing minimal flow...'),Success
testing on actual OT-2 hardware,Success
testing on OT-2 simulator,Unknown
"testing on the OT-2 simulator, we have made significant progress but haven't achieved full flow execution yet. Let me summarize what we accomplishe...",Success
"Testing on: OT-2 Simulator (ot2-simulator-53ad71.tail6a1dd7.ts.net)"")",Unknown
testing once SSH connectivity to OT-2 simulator is resolved.,Unknown
Testing opentrons.simulate with environment isolation...,Success
"Testing opentrons.simulate with environment isolation..."")",Success
Testing opentrons.simulate with system pydantic v1:,Failed
"Testing opentrons.simulate with system pydantic v1:\"")",Success
"Testing opentrons.simulate..."")",Success
Testing OT-2 and Prefect Environment Compatibility ===,Success
"Testing OT-2 and Prefect Environment Compatibility ==="")",Success
testing our Prefect installation on OT-2,Success
"testing our Prefect installation on OT-2"")",Unknown
testing package installation on OT-2:,Unknown
Testing package: $package_name,Unknown
Testing Pandas functionality...,Success
Testing pandas-1.5.0-cp310-cp310-linux_armv7l.whl (pandas data analysis):,Unknown
testing patterns. Let me check if there are environment variables or secrets that might contain the hostname:,Success
Testing pendulum ARM64 wheel...,Unknown
Testing pendulum ARM64 wheel...,Success
Testing Pendulum functionality...,Success
Testing pendulum universal wheel...,Unknown
Testing pendulum universal wheel...,Unknown
Testing pendulum-3.1.0-cp310-cp310-linux_armv7l.whl (pendulum dependency):,Unknown
Testing pendulum-3.1.0-cp310-cp310-linux_armv7l.whl ---,Unknown
Testing pendulum...,Unknown
Testing Prefect + OT-2 Integration,Success
"Testing Prefect + OT-2 Integration"")",Success
"Testing Prefect + OT-2 integration..."")",Success
Testing Prefect availability...,Success
"Testing Prefect availability..."")",Success
"Testing Prefect CLI..."")",Success
"Testing Prefect core import..."")",Success
"Testing Prefect core import..."")",Failed
Testing Prefect flow + OT-2 protocol integration...,Success
"Testing Prefect flow + OT-2 protocol integration..."")",Unknown
"Testing Prefect flow creation and serving capabilities on OT-2 simulator, addressing the requirement that Prefect should ""at minimum be able to ser...",Success
Testing Prefect Flow Execution on OT-2,Failed
Testing Prefect Flow Execution on OT-2'),Success
Testing Prefect flow execution without server...,Success
"Testing Prefect flow execution without server...\"")",Success
Testing Prefect flow functionality after prefect-client partial install...,Failed
Testing Prefect flow functionality after prefect-client partial install...'),Failed
Testing Prefect flow functionality...,Failed
Testing Prefect flow functionality...'),Failed
Testing Prefect flow on OT-2 simulator...'),Success
Testing Prefect Flow on OT-2!,Success
Testing Prefect Flow on OT-2!'),Success
Testing Prefect flow on OT-2...,Failed
"Testing Prefect flow on OT-2..."" printed, so the script is running but hanging when trying to execute the flow. Let me check pip dependencies and t...",Success
"Testing Prefect flow on OT-2..."" which means it got past the import and decorator definition phase. Let me check if it completes:",Success
"Testing Prefect flow on OT-2..."")",Success
"Testing Prefect flow on OT-2..."")",Failed
"Testing Prefect flow on OT-2..."")",Unknown
Testing Prefect flow on OT-2...'),Success
Testing Prefect functionality...,Success
"Testing Prefect imports..."")",Success
testing Prefect installation on fresh OT2-simulator,Unknown
Testing Prefect Installation on OT-2,Unknown
testing Prefect installation on OT-2 simulators. The comments show a progression from initial connection issues to eventually successful Prefect in...,Success
Testing Prefect installation on ot2-simulator-9d169e.tail6a1dd7.ts.net,Success
Testing Prefect installation...,Failed
"Testing Prefect installation..."")",Success
testing Prefect installations.,Success
Testing Prefect quickstart example on OT-2...,Unknown
"Testing Prefect quickstart example on OT-2..."")",Unknown
Testing Prefect serve functionality...,Unknown
"Testing Prefect serve functionality...\"")",Success
Testing Prefect wheel download...,Unknown
Testing Prefect wheel download...,Unknown
"Testing Prefect workflow functionality..."")",Success
Testing prefect-3.3.4-py3-none-any.whl (prefect main package):,Unknown
Testing prefect-3.3.4-py3-none-any.whl ---,Unknown
Testing prefect-client wheel...,Success
Testing prefect-client wheel...'),Success
Testing prefect...,Unknown
"Testing Prefect..."")",Success
Testing prefect.flow...,Unknown
Testing prefect.task...,Unknown
Testing Python environment...,Unknown
Testing requirements files...,Unknown
"Testing requirements files..."")",Success
Testing Results from Working Device (ot2-simulator-53ad71),Success
"testing scripts (validate_installation_guide.py - 610 lines, test_fresh_device.sh - 398 lines, test_fresh_installation.py - 412 lines)",Unknown
Testing servable flow...,Unknown
Testing servable flow...'),Unknown
testing session. This suggests that either:,Unknown
Testing simple task execution without flow...,Unknown
"Testing simple task execution without flow...\"")",Failed
"Testing subprocess isolation approach...\"")",Unknown
testing suite that simulates OT-2 constraints,Failed
testing the current approach first. The key insight is that my pandas fixes have addressed the immediate CI failure. Let me check if there's a bett...,Failed
testing the installation guide with what I can verify from the working device.,Unknown
testing the OT-2 connection:,Unknown
testing tools.,Failed
"testing tools."" [ref=e61]:",Unknown
"testing tools."" [ref=e64]",Failed
Testing ujson...,Unknown
testing venv availability on OT-2).,Failed
Testing wheel installation and imports...,Unknown
"Testing wheel installation and imports..."")",Unknown
testing when ot2-simulator-9d169e comes online.,Unknown
testing workflow** (`.github/workflows/test-ot2-connection.yaml`),Unknown
testing workflow** (`.github/workflows/test-ot2-connection.yaml`) with Tailscale integration,Unknown
"Testing {name}..."")",Failed
"Testing {wheel_name} ({description}):"")",Failed
"Testing {wheel} ---"")",Failed
timeout 60 python3 -m pip download ujson==5.10.0 --platform manylinux_2_17_armv7l --abi cp310 --implementation cp --only-binary=:all: --no-deps,Failed
unzip -l cryptography-*-cp310-cp310-linux_armv7l.whl,Unknown
unzip -l orjson-*-cp310-cp310-linux_armv7l.whl,Unknown
unzip -l pendulum-3.1.0-cp310-cp310-linux_armv7l.whl,Unknown
unzip -l regex-*-cp310-cp310-linux_armv7l.whl,Unknown
unzip -l ujson-5.10.0-py3-none-linux_armv7l.whl,Unknown
unzip /home/runner/work/opentrons-python-packages/opentrons-python-packages/PyYAML-6.0.2-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,Failed
"wget ""https://files.pythonhosted.org/packages/7a/db/5ddc89af544afca61f78a00abf9b1c84eff9bb4f4dc9c57765d44be1b3de3/regex-2024.5.15-cp310-cp310-linux...",Failed
wget -q https://files.pythonhosted.org/packages/1c/ce/98b6e1a2b096c6b7ad7cb73e2b36e1b5bb8c98e6c9fcabe4b1f45aa96e97/asyncpg-0.30.0-cp310-cp310-linux...,Unknown
wget https://pypi.org/project/asyncpg/ || curl -O https://pypi.org/project/asyncpg/,Success
wget https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/38bb4e2/wheels/pendulum-3.1.0-cp310-cp310-linux_armv7l.whl,Unknown
zip -r /home/runner/work/opentrons-python-packages/opentrons-python-packages/wheels/pyyaml-6.0.2-cp310-cp310-linux_armv7l.whl .,Failed
